dmd_id,item_cd,res_grp,resource,start_num,end_num
FP_10001967,5124687,2217,Mode[10003980],0,85800
FP_10001968,5124689,2217,Mode[10007202],0,85800
FP_10002266,5141085,2113,Mode[10018308],0,99100
FP_10002268,5142191,2113,Mode[10001283],0,99100
FP_10002270,5141111,2113,Mode[10015373],99100,198200
FP_10002271,5141089,2113,Mode[10005754],99100,198200
FP_10002280,5124710,2112,Mode[10001221],0,74000
FP_10002282,5127889,2112,Mode[10016171],74000,148000
FP_10002283,5128885,2112,Mode[10001215],0,74000
FP_10002284,5142334,2112,Mode[10005756],0,74000
FP_20002269,5141088,2113,Mode[10015524],99100,198200
FP_20002272,5101402,2113,Mode[10016213],0,99100
FP_20002273,5101421,2113,Mode[10015524],0,99100
FP_20002274,5101403,2113,Mode[10015373],0,99100
FP_20002278,5142910,2112,Mode[10016214],0,74000
FP_20002279,5141913,2112,Mode[10016479],0,74000
FP_20002281,5124741,2112,Mode[10016171],0,74000
FP_30002267,5141087,2113,Mode[10018308],99100,198200
FP_30002275,5101408,2113,Mode[10001284],0,99100
FP_30002276,5108222,2113,Mode[10005754],0,99100
FP_30002277,5108223,2113,Mode[10018307],99100,198200
FP_30002278,5142910,2112,Mode[10016155],0,74000
FP_40002267,5141087,2113,Mode[10018307],0,99100
